DealerId	VIN	Stock #	New/Used	Year	Make	Model	Model Number	Body	Transmission	Series	Body Door Ct	Odometer	Engine Cylinder Ct	Engine Displacement	Drivetrain Desc	Colour	Interior Color	Invoice	MSRP	Book Value	Price	Inventory Date	Certified	Description	Features	Photo Url List	City MPG	Highway MPG	Photos Last Modified Date	Status Code	Cost	Series Detail	Inspection Checklist #	Video Url	Video Player Url	R/W
MP6703	1N4AL3AP3EC140189	C46751	N	2014	Nissan	Altima		4D Sedan	CVT Xtronic		4	12	4	2.50	FWD	Java Metallic					25320	09/19/2013	No	Hand Selected For You By Nissan Of Omaha - Feast your eyes upon the 2014 Altima shown here in Java Metallic. This 2.5 S model includes a powerful yet efficient 2.5L 4-cylinder which provides 182 horsepower and is mated to Nissan's next generation CVT which yields up to 38mpg. To match the grin-inducing acceleration, the Altima now features a 370Z-inspired multi-link rear suspension to provide instant responses and maximum tire contact to ensure your daily commute is anything but ordinary. You may see the new Altima features styling cues of it's big brother, the Maxima. Spoil yourself with features like the Advanced Drive-Assist Display, zero-gravity cloth front seats, push-button ignition and Bluetooth. You are also rewarded with Nissan Intelligent Key, speed-sensitive windshield wipers and smart auto headlights. One of the greatest features of the Altima is the ability to keep you and your occupants out of harms way with dual front, side-impact and roof-mounted side-impact supplemental airbags as well as Vehicle Dynamic Control and a Tire-Pressure Monitoring System featuring Easy-Fill Tire Alert. You no longer have to choose between great fuel economy, responsive handling or a spacious well-built cabin. You get it all with this Altima. So don't hesitate...Print this page and call us Now... We Know You Will Enjoy Your Test Drive Towards Ownership! Ask For Mike Q, I Have The Keys.	CD player,MP3 decoder,Radio data system,Air Conditioning,Rear window defroster,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Brake assist,Electronic Stability Control,Delay-off headlights,Panic alarm,Security system,Bumpers: body-color,Power door mirrors,Driver door bin,Driver vanity mirror,Front reading lights,Outside temperature display,Overhead console,Passenger vanity mirror,Rear reading lights,Rear seat center armrest,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Front Bucket Seats,Split folding rear seat,Front Center Armrest w/Storage,Passenger door bin,Speed-Sensitive Wipers,Variably intermittent wipers		27	38								R
MP6703	1N4AL3AP7EC139708	C46752	N	2014	Nissan	Altima		4D Sedan	CVT Xtronic		4	12	4	2.50	FWD	Pearl White					30790	09/19/2013	No	Hand Selected For You By Nissan Of Omaha - Feast your eyes upon the 2014 Altima shown here in Pearl White. This 2.5 SV model includes an efficient 2.5L 4-cylinder which provides 182 horsepower and is mated to Nissan's next generation CVT which yields up to 38mpg. To match the grin-inducing acceleration, the Altima now features a 370Z-inspired multi-link rear suspension to provide instant responses and maximum tire contact to ensure your daily commute is anything but ordinary. You may see the new Altima features some styling cues of it's big brother, the Maxima like sporty 17-inch Aluminum-alloy wheels and dual exhaust outlets w/chrome tip finishers. Inside you will find an upscale and richly appointed cabin. Spoil yourself with features like the Advanced Drive-Assist Display, zero-gravity cloth front seats, push-button ignition and Bluetooth. You are also rewarded with the Nissan Intelligent Key w/Remote Engine Start System and RearView Monitor. One of the greatest features of the Altima is the ability to keep you and your occupants out of harms way with dual front, side-impact and roof-mounted side-impact supplemental airbags as well as Vehicle Dynamic Control and a Tire-Pressure Monitoring System featuring Easy-Fill Tire Alert. You no longer have to choose between great fuel economy, responsive handling or a spacious well-built cabin. You get it all with this Altima. So don't hesitate...Print this page and call us Now... We Know You Will Enjoy Your Test Drive Towards Ownership! Ask For Mike Q, I Have The Keys.	CD player,MP3 decoder,Radio data system,Air Conditioning,Rear window defroster,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Brake assist,Electronic Stability Control,Delay-off headlights,Panic alarm,Security system,Bumpers: body-color,Power door mirrors,Driver door bin,Driver vanity mirror,Front reading lights,Outside temperature display,Overhead console,Passenger vanity mirror,Rear reading lights,Rear seat center armrest,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Front Bucket Seats,Split folding rear seat,Front Center Armrest w/Storage,Passenger door bin,Speed-Sensitive Wipers,Variably intermittent wipers		27	38								R
MP6703	1N4AZ0CP0DC418071	C36753	N	2013	Nissan	Leaf	17013	4D Hatchback	Single Speed Reducer	S	4	12			FWD						34470	09/19/2013	No	Hand Selected For You By Nissan Of Omaha - The future is here with the all-electric 2013 Nissan Leaf. Shown here in Metallic Slate, this S model is powered by an advanced electric motor that creates zero emissions and gives you the equivalent of 130 city miles per gallon. Outside, the shape itself tells you this isn't just any ordinary car. The exterior also features 16-inch steel wheels, aerodynamic halogen headlights, rear spoiler and an aerodynamic underbody cover and rear diffuser. Check out our pictures and you'll see the car of the future has all the features you need in a well-built cabin. You'll find Nissan's Intelligent Key w/Push Button Start, Bluetooth hands-free phone system, heated front and rear seats, heated leather-wrapped steering wheel and an AM/FM/CD audio system w/4.3-inch color monitor. The Leaf was the first 100% electric vehicle to earn the Top Safety Pick rating from the IIHS and also the first to earn a 5-star rating for overall safety. This was made possible with six standard airbags, Vehicle Dynamic Control and a Traction Control System. We all do our fair share for the environment, but with the Leaf you can do so much more. Print this page and call us Now... We Know You Will Enjoy Your Test Drive Towards Ownership! Ask For Mike Q, I Have The Keys.	4 Speakers,CD player,MP3 decoder,Radio: AM/FM/Single In-Dash CD/MP3/WMA,Air Conditioning,Automatic temperature control,Rear window defroster,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Anti-whiplash front head restraints,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Front wheel independent suspension,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Brake assist,Electronic Stability Control,Panic alarm,Security system,Bumpers: body-color,Heated door mirrors,Power door mirrors,Spoiler,Cloth Seat Trim,Driver vanity mirror,Front reading lights,Heated steering wheel,Illuminated entry,Leather steering wheel,Outside temperature display,Overhead console,Passenger vanity mirror,Tilt steering wheel,Trip computer,Front Bucket Seats,Front Center Armrest,Heated Front Bucket Seats,Heated front seats,Heated rear seats,Split folding rear seat,Rear window wiper,Variably intermittent wipers		129	102								R
MP6703	JN8AZ1MW6DW322762	T36750	N	2013	Nissan	Murano	23413	4D Sport Utility	CVT with Xtronic	SV	4	12	6	3.50	AWD						34810	09/19/2013	No	Hand Selected For You By Nissan Of Omaha - Feast your eyes upon the sophisticated and uniquely styled 2013 Murano SV shown here in Gun Metallic. Powering this AWD upscale crossover is the award-winning 3.5L V6 producing 260-horsepower and linked to the innovative Xtronic CVT. Together, you can expect to achieve up to 23mpg on the open road. Step inside the refined interior and you'll find yourself spoiled with features like the Intelligent Key w/Push button ignition, vehicle information center w/7'' monitor, RearView Monitor and a dual panel moonroof w/power sunshades. An AM/FM/in-dash 6-CD changer audio system features 6 speakers and an auxiliary audio input jack making your daily commute just that much more entertaining. When it comes to safety, the Murano has you covered with six airbags, vehicle dynamic control, traction control and a tire pressure monitoring system all standard. Reward yourself with a crossover that is just as distinctive as it is versatile. Print this page and call us Now... We Know You Will Enjoy Your Test Drive Towards Ownership! Ask For Mike Q, I Have The Keys.	6 Speakers,AM/FM/CD Radio,CD player,MP3 decoder,Radio data system,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear window defroster,Power driver seat,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Anti-whiplash front head restraints,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Brake assist,Electronic Stability Control,Delay-off headlights,Front fog lights,Fully automatic headlights,Panic alarm,Security system,Speed control,Bumpers: body-color,Power door mirrors,Roof rack: rails only,Auto-dimming Rear-View mirror,Cloth Seat Trim,Driver door bin,Driver vanity mirror,Front reading lights,Garage door transmitter: HomeLink,Illuminated entry,Leather Shift Knob,Outside temperature display,Overhead console,Passenger vanity mirror,Rear reading lights,Rear seat center armrest,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Front Bucket Seats,Power passenger seat,Split folding rear seat,Front Center Armrest w/Storage,Passenger door bin,Alloy wheels,Rear window wiper,Speed-Sensitive Wipers,Variably intermittent wipers,5.173 Axle Ratio		18	23								R
MP6703	5N1AN0NW3DN824601	T36749	N	2013	Nissan	Xterra	24463	4D Sport Utility	6-Speed Manual	PRO	4	12	6	4	4WD	Glacier White	Gray/Steel				30990	09/19/2013	No	Hand Selected For You By Nissan Of Omaha - You've got your eyes set on this iconic 2013 Xterra Pro-4X shown here in Glacier White. The rugged looks of our 4WD are just the beginning, the 261 horsepower 4.0L V6 has the power to back up those looks. Mated to a 6-speed manual, you can expect up to 20mpg on the open road. Outside, you will find Bilstein off-road shock absorbers, roof rack w/off road lights and rear bumper steps. Inside, you'll find an interior designed to be just as rugged as the exterior. Power door locks and windows, cruise control, remote keyless entry and removable rear seat cushions are just a few of the standard goodies you'll enjoy. A Rockford Fosgate AM/FM/CD audio system with nine speakers will make your drive whether on or off road even more entertaining. Six airbags, vehicle dynamic control, a traction control system and a tire pressure monitoring system are all designed to keep you out of harm's way. Now's the time to drive an SUV that can handle your active lifestyle. Print this page and call us Now... We Know You Will Enjoy Your Test Drive Towards Ownership! Ask For Mike Q, I Have The Keys.	Navigation System,Nissan Navigation System,9 Speakers,AM/FM In-Dash 6-CD Changer,CD player,MP3 decoder,Radio data system,SiriusXM Satellite Radio,Air Conditioning,Rear window defroster,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Anti-whiplash front head restraints,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Front wheel independent suspension,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Electronic Stability Control,Front fog lights,Fully automatic headlights,Panic alarm,Security system,Speed control,Bodyside moldings,Power door mirrors,Roof rack,Auto-dimming Rear-View mirror,Driver door bin,Driver vanity mirror,Front reading lights,Illuminated entry,Leather Shift Knob,Outside temperature display,Overhead console,Passenger vanity mirror,Tachometer,Tilt steering wheel,Voltmeter,Front Bucket Seats,Front Center Armrest,Reclining Front Bucket Seats,Split folding rear seat,Unique Cloth Seat Trim,Passenger door bin,Rear window wiper,Variably intermittent wipers,3.692 Axle Ratio	http://vehicleimages.s3.amazonaws.com/ea/58/f8/04-6798-40ed-8ea4-b6ae0a2d7734/image-1.jpg,http://vehicleimages.s3.amazonaws.com/ea/58/f8/04-6798-40ed-8ea4-b6ae0a2d7734/image-2.jpg,http://vehicleimages.s3.amazonaws.com/ea/58/f8/04-6798-40ed-8ea4-b6ae0a2d7734/image-3.jpg,http://vehicleimages.s3.amazonaws.com/ea/58/f8/04-6798-40ed-8ea4-b6ae0a2d7734/image-4.jpg,http://vehicleimages.s3.amazonaws.com/ea/58/f8/04-6798-40ed-8ea4-b6ae0a2d7734/image-5.jpg,http://vehicleimages.s3.amazonaws.com/ea/58/f8/04-6798-40ed-8ea4-b6ae0a2d7734/image-6.jpg,http://vehicleimages.s3.amazonaws.com/ea/58/f8/04-6798-40ed-8ea4-b6ae0a2d7734/image-7.jpg,http://vehicleimages.s3.amazonaws.com/ea/58/f8/04-6798-40ed-8ea4-b6ae0a2d7734/image-8.jpg,http://vehicleimages.s3.amazonaws.com/ea/58/f8/04-6798-40ed-8ea4-b6ae0a2d7734/image-9.jpg,http://vehicleimages.s3.amazonaws.com/ea/58/f8/04-6798-40ed-8ea4-b6ae0a2d7734/image-10.jpg	16	20	9/30/2013 8:35:57 PM							R
MP6703	1N4AL3AP2EC130723	C46697	N	2014	Nissan	Altima		4D Sedan	CVT Xtronic		4	8	4	2.50	FWD	Storm Blue Metallic					25320	09/10/2013	No	Hand Selected For You By Nissan Of Omaha - Feast your eyes upon the 2014 Altima shown here in Storm Blue. This 2.5 S model includes a powerful yet efficient 2.5L 4-cylinder which provides 182 horsepower and is mated to Nissan's next generation CVT which yields up to 38mpg. To match the grin-inducing acceleration, the Altima now features a 370Z-inspired multi-link rear suspension to provide instant responses and maximum tire contact to ensure your daily commute is anything but ordinary. You may see the new Altima features styling cues of it's big brother, the Maxima. Spoil yourself with features like the Advanced Drive-Assist Display, zero-gravity cloth front seats, push-button ignition and Bluetooth. You are also rewarded with Nissan Intelligent Key, speed-sensitive windshield wipers and smart auto headlights. One of the greatest features of the Altima is the ability to keep you and your occupants out of harms way with dual front, side-impact and roof-mounted side-impact supplemental airbags as well as Vehicle Dynamic Control and a Tire-Pressure Monitoring System featuring Easy-Fill Tire Alert. You no longer have to choose between great fuel economy, responsive handling or a spacious well-built cabin. You get it all with this Altima. So don't hesitate...Print this page and call us Now... We Know You Will Enjoy Your Test Drive Towards Ownership! Ask For Mike Q, I Have The Keys.	CD player,MP3 decoder,Radio data system,Air Conditioning,Rear window defroster,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Brake assist,Electronic Stability Control,Delay-off headlights,Panic alarm,Security system,Bumpers: body-color,Power door mirrors,Driver door bin,Driver vanity mirror,Front reading lights,Outside temperature display,Overhead console,Passenger vanity mirror,Rear reading lights,Rear seat center armrest,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Front Bucket Seats,Split folding rear seat,Front Center Armrest w/Storage,Passenger door bin,Speed-Sensitive Wipers,Variably intermittent wipers		27	38								R
MP6703	1N4AL3APXEC129867	C46698	N	2014	Nissan	Altima		4D Sedan	CVT Xtronic		4	5	4	2.50	FWD	Storm Blue Metallic					30790	09/10/2013	No	Hand Selected For You By Nissan Of Omaha - Feast your eyes upon the 2014 Altima shown here in Storm Blue. This 2.5 SV model includes an efficient 2.5L 4-cylinder which provides 182 horsepower and is mated to Nissan's next generation CVT which yields up to 38mpg. To match the grin-inducing acceleration, the Altima now features a 370Z-inspired multi-link rear suspension to provide instant responses and maximum tire contact to ensure your daily commute is anything but ordinary. You may see the new Altima features some styling cues of it's big brother, the Maxima like sporty 17-inch Aluminum-alloy wheels and dual exhaust outlets w/chrome tip finishers. Inside you will find an upscale and richly appointed cabin. Spoil yourself with features like the Advanced Drive-Assist Display, zero-gravity cloth front seats, push-button ignition and Bluetooth. You are also rewarded with the Nissan Intelligent Key w/Remote Engine Start System and RearView Monitor. One of the greatest features of the Altima is the ability to keep you and your occupants out of harms way with dual front, side-impact and roof-mounted side-impact supplemental airbags as well as Vehicle Dynamic Control and a Tire-Pressure Monitoring System featuring Easy-Fill Tire Alert. You no longer have to choose between great fuel economy, responsive handling or a spacious well-built cabin. You get it all with this Altima. So don't hesitate...Print this page and call us Now... We Know You Will Enjoy Your Test Drive Towards Ownership! Ask For Mike Q, I Have The Keys.	CD player,MP3 decoder,Radio data system,Air Conditioning,Rear window defroster,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Brake assist,Electronic Stability Control,Delay-off headlights,Panic alarm,Security system,Bumpers: body-color,Power door mirrors,Driver door bin,Driver vanity mirror,Front reading lights,Outside temperature display,Overhead console,Passenger vanity mirror,Rear reading lights,Rear seat center armrest,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Front Bucket Seats,Split folding rear seat,Front Center Armrest w/Storage,Passenger door bin,Speed-Sensitive Wipers,Variably intermittent wipers		27	38								R
MP6703	JN8AS5MV6DW659242	T36693	N	2013	Nissan	Rogue	22213	4D Sport Utility	CVT	S	4	12	4	2.50	AWD	Brilliant Silver Metallic	Black				24055	09/10/2013	No	Hand Selected For You By Nissan Of Omaha - Your journey can begin with this versatile 2013 Rogue S AWD shown here in Platinum Graphite. With 170 horsepower, the 2.5L 4-cylinder is designed for peppy performance while the intelligent CVT has efficiency in mind meaning you can achieve up to 26mpg. Outside, the Rogue's signature shape is complimented by a body-color rear spoiler and chrome grille, door handles and body side moldings for a splash of style. Step inside, and find yourself surrounded by thoughtful touches making the cabin not unusually roomy. Aside from air conditioning and power windows and door locks, you are also rewarded with an AM/FM/CD audio system, an interface system for your iPod and a trip computer w/outside temperature display. Fold the 60/40 split fold-down rear seatbacks and the stylish interior becomes cavernous with nearly 58 feet of usable cargo space. Six standard airbags, front-seat active head restraints, Vehicle Dynamic Control and a tire pressure monitoring system are just a few of the advanced features made standard for your protection. Nissan's intuitive AWD easily adapts to each situation sending just the right amount of power to the front and rear wheels keeping you on the right path. Now that your mind has been made up on what to drive on your journey it is now up to you to decide where this journey will take you. With 400+ miles per tank, the possibilities are endless so print this page and call us Now... We Know You Will Enjoy Your Test Drive Towards Ownership! Ask For Mike Q, I Have The Keys.	4 Speakers,AM/FM radio,AM/FM/CD Audio System,CD player,MP3 decoder,Radio data system,Air Conditioning,Rear window defroster,Power steering,Power windows,Remote keyless entry,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Anti-whiplash front head restraints,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Brake assist,Electronic Stability Control,Panic alarm,Security system,Speed control,Bodyside moldings,Bumpers: body-color,Power door mirrors,Spoiler,Cloth Seat Trim,Driver door bin,Driver vanity mirror,Front reading lights,Illuminated entry,Outside temperature display,Overhead console,Passenger vanity mirror,Tachometer,Tilt steering wheel,Trip computer,Front Bucket Seats,Front Center Armrest,Split folding rear seat,Passenger door bin,Rear window wiper,Variably intermittent wipers	http://vehicleimages.s3.amazonaws.com/5c/81/54/f1-b566-48c6-9532-0470b7ea0080/image-1.jpg,http://vehicleimages.s3.amazonaws.com/5c/81/54/f1-b566-48c6-9532-0470b7ea0080/image-2.jpg,http://vehicleimages.s3.amazonaws.com/5c/81/54/f1-b566-48c6-9532-0470b7ea0080/image-3.jpg,http://vehicleimages.s3.amazonaws.com/5c/81/54/f1-b566-48c6-9532-0470b7ea0080/image-4.jpg,http://vehicleimages.s3.amazonaws.com/5c/81/54/f1-b566-48c6-9532-0470b7ea0080/image-5.jpg,http://vehicleimages.s3.amazonaws.com/5c/81/54/f1-b566-48c6-9532-0470b7ea0080/image-6.jpg,http://vehicleimages.s3.amazonaws.com/5c/81/54/f1-b566-48c6-9532-0470b7ea0080/image-7.jpg,http://vehicleimages.s3.amazonaws.com/5c/81/54/f1-b566-48c6-9532-0470b7ea0080/image-8.jpg,http://vehicleimages.s3.amazonaws.com/5c/81/54/f1-b566-48c6-9532-0470b7ea0080/image-9.jpg,http://vehicleimages.s3.amazonaws.com/5c/81/54/f1-b566-48c6-9532-0470b7ea0080/image-10.jpg,http://vehicleimages.s3.amazonaws.com/5c/81/54/f1-b566-48c6-9532-0470b7ea0080/image-11.jpg	22	27	9/18/2013 8:26:31 PM							R
MP6703	JN8AE2KP3D9068889	T36138	N	2013	Nissan	Quest		4D Passenger Van	CVT		4	12	6	3.50	FWD	White Pearl					33440	05/28/2013	No	“Nissan of Omaha is Village Pointe's Place to Go for Great Deals, Incredible Selection, and Hometown Service that Can’t Be Beat!”	CD player,MP3 decoder,Air Conditioning,Rear air conditioning,Rear window defroster,Power steering,Power windows,Remote keyless entry,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Anti-whiplash front head restraints,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Brake assist,Electronic Stability Control,Panic alarm,Security system,Speed control,Bumpers: body-color,Power door mirrors,Spoiler,Driver door bin,Driver vanity mirror,Front reading lights,Illuminated entry,Outside temperature display,Overhead console,Passenger seat mounted armrest,Passenger vanity mirror,Rear reading lights,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,3rd row seats: split-bench,Front Bucket Seats,Reclining 3rd row seat,Split folding rear seat,Passenger door bin,Rear window wiper,Speed-Sensitive Wipers,Variably intermittent wipers		19	25								R
MP6703	JN8AE2KP0D9060619	T35927	N	2013	Nissan	Quest		4D Passenger Van	CVT		4	10	6	3.50	FWD						39545	04/12/2013	No	“Nissan of Omaha is Village Pointe's Place to Go for Great Deals, Incredible Selection, and Hometown Service that Can’t Be Beat!”	CD player,MP3 decoder,Air Conditioning,Rear air conditioning,Rear window defroster,Power steering,Power windows,Remote keyless entry,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Anti-whiplash front head restraints,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Brake assist,Electronic Stability Control,Panic alarm,Security system,Speed control,Bumpers: body-color,Power door mirrors,Spoiler,Driver door bin,Driver vanity mirror,Front reading lights,Illuminated entry,Outside temperature display,Overhead console,Passenger seat mounted armrest,Passenger vanity mirror,Rear reading lights,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,3rd row seats: split-bench,Front Bucket Seats,Reclining 3rd row seat,Split folding rear seat,Passenger door bin,Rear window wiper,Speed-Sensitive Wipers,Variably intermittent wipers		19	25								R
