DealerId	VIN	Stock #	New/Used	Year	Make	Model	Model Number	Body	Transmission	Series	Body Door Ct	Odometer	Engine Cylinder Ct	Engine Displacement	Drivetrain Desc	Colour	Interior Color	Invoice	MSRP	Book Value	Price	Inventory Date	Certified	Description	Features	Photo Url List	City MPG	Highway MPG	Photos Last Modified Date	Status Code	Cost	Series Detail	Inspection Checklist #	Video Url	Video Player Url	R/W
MP6703	1N4AL3AP6EC412279	C47838	N	2014	Nissan	Altima		4D Sedan	CVT Xtronic		4	10	4	2.50	FWD	Pearl White	Charcoal				25005	04/18/2014	No		4-Wheel Disc Brakes,Electronic Stability Control,Front Bucket Seats,Tachometer,ABS brakes,Brake assist,Bumpers: body-color,CD player,Delay-off headlights,Driver door bin,Driver vanity mirror,Dual front impact airbags,Dual front side impact airbags,Four wheel independent suspension,Front anti-roll bar,Front reading lights,Low tire pressure warning,MP3 decoder,Occupant sensing airbag,Outside temperature display,Overhead airbag,Overhead console,Panic alarm,Passenger door bin,Passenger vanity mirror,Power door mirrors,Power steering,Power windows,Radio data system,Rear anti-roll bar,Rear reading lights,Rear seat center armrest,Rear window defroster,Remote keyless entry,Security system,Speed-sensing steering,Split folding rear seat,Steering wheel mounted audio controls,Telescoping steering wheel,Tilt steering wheel,Traction control,Trip computer,Variably intermittent wipers,Speed-Sensitive Wipers,Front Center Armrest w/Storage,Wireless phone connectivity: Bluetooth,Air Conditioning		27	38								R
MP6703	1N4AL3AP3EC412031	C47837	N	2014	Nissan	Altima		4D Sedan	CVT Xtronic		4	10	4	2.50	FWD	Cayenne Red Metallic	Charcoal				25005	04/18/2014	No		4-Wheel Disc Brakes,Electronic Stability Control,Front Bucket Seats,Tachometer,ABS brakes,Brake assist,Bumpers: body-color,CD player,Delay-off headlights,Driver door bin,Driver vanity mirror,Dual front impact airbags,Dual front side impact airbags,Four wheel independent suspension,Front anti-roll bar,Front reading lights,Low tire pressure warning,MP3 decoder,Occupant sensing airbag,Outside temperature display,Overhead airbag,Overhead console,Panic alarm,Passenger door bin,Passenger vanity mirror,Power door mirrors,Power steering,Power windows,Radio data system,Rear anti-roll bar,Rear reading lights,Rear seat center armrest,Rear window defroster,Remote keyless entry,Security system,Speed-sensing steering,Split folding rear seat,Steering wheel mounted audio controls,Telescoping steering wheel,Tilt steering wheel,Traction control,Trip computer,Variably intermittent wipers,Speed-Sensitive Wipers,Front Center Armrest w/Storage,Wireless phone connectivity: Bluetooth,Air Conditioning		27	38								R
MP6703	JN1AZ4EH0EM635870	C47828	N	2014	Nissan	370Z		2D Coupe	6-Speed Manual	Nismo	2	10	6	3.70	RWD	Magnetic Black Metallic	Black/Red				45400	04/15/2014	No		Bose Package,4 Speakers,AM/FM radio,AM/FM/CD Audio System w/4 Speakers,CD player,SiriusXM Satellite Radio,Air Conditioning,Automatic temperature control,Rear window defroster,HomeLink Universal Transceiver,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Anti-whiplash front head restraints,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Brake assist,Electronic Stability Control,Delay-off headlights,Panic alarm,Security system,Speed control,Bumpers: body-color,Heated door mirrors,Power door mirrors,Spoiler,Auto-Dimming Mirror,Driver door bin,Driver vanity mirror,Front reading lights,Illuminated entry,Leather Shift Knob,Leather steering wheel,Outside temperature display,Passenger vanity mirror,Tachometer,Tilt steering wheel,Trip computer,Voltmeter,Front Bucket Seats,Front Center Armrest,Passenger door bin,Alloy wheels,Variably intermittent wipers			26								R
MP6703	5N1AT2MVXEC810461	T47814	N	2014	Nissan	Rogue	22414	4D Sport Utility	CVT Xtronic	SV	4	10	4	2.50	AWD	Gun Metallic					28400	04/10/2014	No		5.694 Axle Ratio,17" Aluminum Alloy Wheels,Cloth Seat Trim,Radio: AM/FM/CD/RDS/AUX NissanConnect,Bluetooth® Hands-Free Phone System,4-Wheel Disc Brakes,6 Speakers,Air Conditioning,Electronic Stability Control,Front Bucket Seats,Spoiler,Tachometer,ABS brakes,AM/FM radio,Automatic temperature control,Brake assist,Bumpers: body-color,CD player,Delay-off headlights,Driver door bin,Driver vanity mirror,Dual front impact airbags,Dual front side impact airbags,Four wheel independent suspension,Front anti-roll bar,Front dual zone A/C,Front reading lights,Fully automatic headlights,Illuminated entry,Low tire pressure warning,MP3 decoder,Occupant sensing airbag,Outside temperature display,Overhead airbag,Overhead console,Panic alarm,Passenger door bin,Passenger vanity mirror,Power door mirrors,Power driver seat,Power steering,Power windows,Rear anti-roll bar,Rear seat center armrest,Rear window defroster,Rear window wiper,Remote keyless entry,Roof rack: rails only,Security system,Speed control,Speed-sensing steering,Split folding rear seat,Steering wheel mounted audio controls,Telescoping steering wheel,Tilt steering wheel,Traction control,Trip computer,Turn signal indicator mirrors,Variably intermittent wipers,Variable valve control,Front Center Armrest w/Storage		25	32								R
MP6703	JN8AZ1MW0EW516690	T47800	N	2014	Nissan	Murano	23414	4D Sport Utility	CVT with Xtronic	SV	4	10	6	3.50	AWD	Glacier Pearl					34320	04/07/2014	No		5.173 Axle Ratio,18" Aluminum Alloy Wheels,Front Bucket Seats,Cloth Seat Trim,Radio: AM/FM/Single CD Player,4-Wheel Disc Brakes,6 Speakers,Air Conditioning,Electronic Stability Control,Leather Shift Knob,Tachometer,ABS brakes,Anti-whiplash front head restraints,Automatic temperature control,Brake assist,Bumpers: body-color,CD player,Delay-off headlights,Driver door bin,Driver vanity mirror,Dual front impact airbags,Dual front side impact airbags,Four wheel independent suspension,Front anti-roll bar,Front dual zone A/C,Front fog lights,Front reading lights,Fully automatic headlights,Garage door transmitter: HomeLink,Illuminated entry,Low tire pressure warning,MP3 decoder,Occupant sensing airbag,Outside temperature display,Overhead airbag,Overhead console,Panic alarm,Passenger door bin,Passenger vanity mirror,Power door mirrors,Power driver seat,Power passenger seat,Power steering,Power windows,Radio data system,Rear anti-roll bar,Rear reading lights,Rear seat center armrest,Rear window defroster,Rear window wiper,Remote keyless entry,Roof rack: rails only,Security system,Speed control,Speed-sensing steering,Split folding rear seat,Steering wheel mounted audio controls,Telescoping steering wheel,Tilt steering wheel,Traction control,Trip computer,Variably intermittent wipers,Auto-dimming Rear-View mirror,Speed-Sensitive Wipers,Wheel size: 18",Front Center Armrest w/Storage,AM/FM radio: SiriusXM		18	23								R
MP6703	JN8AZ1MW0EW516303	T47799	N	2014	Nissan	Murano	23414	4D Sport Utility	CVT with Xtronic	SV	4	10	6	3.50	AWD	Super Black					34320	04/07/2014	No		5.173 Axle Ratio,18" Aluminum Alloy Wheels,Front Bucket Seats,Cloth Seat Trim,Radio: AM/FM/Single CD Player,4-Wheel Disc Brakes,6 Speakers,Air Conditioning,Electronic Stability Control,Leather Shift Knob,Tachometer,ABS brakes,Anti-whiplash front head restraints,Automatic temperature control,Brake assist,Bumpers: body-color,CD player,Delay-off headlights,Driver door bin,Driver vanity mirror,Dual front impact airbags,Dual front side impact airbags,Four wheel independent suspension,Front anti-roll bar,Front dual zone A/C,Front fog lights,Front reading lights,Fully automatic headlights,Garage door transmitter: HomeLink,Illuminated entry,Low tire pressure warning,MP3 decoder,Occupant sensing airbag,Outside temperature display,Overhead airbag,Overhead console,Panic alarm,Passenger door bin,Passenger vanity mirror,Power door mirrors,Power driver seat,Power passenger seat,Power steering,Power windows,Radio data system,Rear anti-roll bar,Rear reading lights,Rear seat center armrest,Rear window defroster,Rear window wiper,Remote keyless entry,Roof rack: rails only,Security system,Speed control,Speed-sensing steering,Split folding rear seat,Steering wheel mounted audio controls,Telescoping steering wheel,Tilt steering wheel,Traction control,Trip computer,Variably intermittent wipers,Auto-dimming Rear-View mirror,Speed-Sensitive Wipers,Wheel size: 18",Front Center Armrest w/Storage,AM/FM radio: SiriusXM		18	23								R
MP6703	JN8AS5MV4EW705846	T47802	N	2014	Nissan	Rogue Select	29014	4D Sport Utility	CVT Xtronic	S	4	10	4	2.50	AWD	Pearl White					23355	04/07/2014	No		5.798 Axle Ratio,16" Wheels w/Full Covers,Cloth Seat Trim,AM/FM/CD Audio System w/4 Speakers,4 Speakers,4-Wheel Disc Brakes,Air Conditioning,Electronic Stability Control,Front Bucket Seats,Front Center Armrest,Tachometer,ABS brakes,AM/FM radio,Anti-whiplash front head restraints,Bodyside moldings,Brake assist,Bumpers: body-color,CD player,Driver door bin,Driver vanity mirror,Dual front impact airbags,Dual front side impact airbags,Four wheel independent suspension,Front anti-roll bar,Front reading lights,Illuminated entry,Low tire pressure warning,MP3 decoder,Occupant sensing airbag,Outside temperature display,Overhead airbag,Overhead console,Panic alarm,Passenger door bin,Passenger vanity mirror,Power door mirrors,Power steering,Power windows,Radio data system,Rear anti-roll bar,Rear window defroster,Rear window wiper,Remote keyless entry,Security system,Speed-sensing steering,Split folding rear seat,Tilt steering wheel,Traction control,Trip computer,Variably intermittent wipers,Variable valve control		22	27								R
MP6703	JN8AZ1MWXEW516602	T47801	N	2014	Nissan	Murano	23814	4D Sport Utility	CVT with Xtronic	LE	4	10	6	3.50	AWD	Glacier Pearl					40900	04/07/2014	No		5.173 Axle Ratio,20" Aluminum Alloy Wheels,Heated Front Bucket Seats,Leather Appointed Seat Trim,Radio: AM/FM/Single CD Player w/Bose Audio System,4-Wheel Disc Brakes,Air Conditioning,Electronic Stability Control,Front Bucket Seats,Leather Shift Knob,Tachometer,ABS brakes,Anti-whiplash front head restraints,Automatic temperature control,Brake assist,Bumpers: body-color,CD player,Delay-off headlights,Driver door bin,Driver vanity mirror,Dual front impact airbags,Dual front side impact airbags,Four wheel independent suspension,Front anti-roll bar,Front dual zone A/C,Front fog lights,Front reading lights,Fully automatic headlights,Garage door transmitter: HomeLink,Heated door mirrors,Heated front seats,Heated rear seats,Heated steering wheel,Illuminated entry,Low tire pressure warning,MP3 decoder,Memory seat,Occupant sensing airbag,Outside temperature display,Overhead airbag,Overhead console,Panic alarm,Passenger door bin,Passenger vanity mirror,Power door mirrors,Power driver seat,Power moonroof,Power passenger seat,Power steering,Power windows,Radio data system,Rain sensing wipers,Rear anti-roll bar,Rear reading lights,Rear seat center armrest,Rear window defroster,Rear window wiper,Remote keyless entry,Roof rack: rails only,Security system,Speed control,Speed-sensing steering,Split folding rear seat,Steering wheel memory,Steering wheel mounted audio controls,Telescoping steering wheel,Tilt steering wheel,Traction control,Trip computer,Variably intermittent wipers,Auto-dimming Rear-View mirror,Speed-Sensitive Wipers,11 Speakers,Compass,Front Center Armrest w/Storage,Trunk/hatch auto-latch,High intensity discharge headlights: Bi-Xenon,AM/FM radio: SiriusXM		18	23								R
MP6703	5N1AT2MV2EC813631	T47797	N	2014	Nissan	Rogue	22214	4D Sport Utility	CVT Xtronic	S	4	10	4	2.50	AWD	Moonlight White					24965	04/07/2014	No		5.694 Axle Ratio,Wheels: 17" Steel w/Full Covers,Front Bucket Seats,Cloth Seat Trim,Radio: AM/FM/CD/RDS/AUX NissanConnect,4 Speakers,4-Wheel Disc Brakes,Air Conditioning,Electronic Stability Control,Spoiler,Tachometer,ABS brakes,AM/FM radio,Brake assist,Bumpers: body-color,CD player,Driver door bin,Driver vanity mirror,Dual front impact airbags,Dual front side impact airbags,Four wheel independent suspension,Front anti-roll bar,Front reading lights,Illuminated entry,Low tire pressure warning,MP3 decoder,Occupant sensing airbag,Outside temperature display,Overhead airbag,Overhead console,Panic alarm,Passenger door bin,Passenger vanity mirror,Power door mirrors,Power steering,Power windows,Rear anti-roll bar,Rear seat center armrest,Rear window defroster,Rear window wiper,Remote keyless entry,Security system,Speed control,Speed-sensing steering,Split folding rear seat,Steering wheel mounted audio controls,Telescoping steering wheel,Tilt steering wheel,Traction control,Trip computer,Turn signal indicator mirrors,Variably intermittent wipers,Variable valve control,Front Center Armrest w/Storage		25	32								R
MP6703	1N4AL3AP6EC402674	C47798	N	2014	Nissan	Altima		4D Sedan	CVT Xtronic	2.5 SL	4	10	4	2.50	FWD	Super Black	Beige				31135	04/07/2014	No		Nissan Navigation System,Moonroof Package,Technology Package,9 Speakers,CD player,MP3 decoder,Radio data system,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear window defroster,Power driver seat,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Blind Spot Warning,Brake assist,Electronic Stability Control,Delay-off headlights,Front fog lights,Fully automatic headlights,Panic alarm,Security system,Speed control,Bumpers: body-color,Heated door mirrors,Power door mirrors,Splash Guards,Turn signal indicator mirrors,Auto-dimming Rear-View mirror,Driver door bin,Driver vanity mirror,Front reading lights,Garage door transmitter: HomeLink,Heated steering wheel,Illuminated entry,Illuminated Kick Plates,Outside temperature display,Overhead console,Passenger vanity mirror,Rear reading lights,Rear seat center armrest,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Front Bucket Seats,Heated Front Bucket Seats,Heated front seats,Leather-Appointed Seat Trim,Split folding rear seat,Front Center Armrest w/Storage,Passenger door bin,Alloy wheels,Speed-Sensitive Wipers,Variably intermittent wipers		27	38								R
